PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
1,6.0,2.0,2.0,3.0,6,8,6,1.0,77.0,0.0,3,1.0
4,5.0,3.0,2.0,6.0,6,8,6,3.0,52.0,0.2,3,5.0
2,6.0,3.0,2.0,4.0,6,8,6,2.0,46.0,0.0,3,2.0
2,6.0,2.0,2.0,4.0,6,8,6,1.0,83.0,0.0,3,2.0
2,5.0,4.0,2.0,8.0,6,8,6,2.0,64.0,0.0,3,2.0
4,4.0,1.0,2.0,6.0,6,8,6,4.0,48.0,0.0,3,4.0
2,6.0,2.0,2.0,3.0,6,8,6,1.0,74.0,0.0,2,2.0
2,5.0,4.0,2.0,4.0,6,8,6,2.0,74.0,0.0,3,5.0
3,5.0,4.0,2.0,9.0,6,8,6,2.0,60.0,0.2,3,5.0
1,5.0,1.0,2.0,1.0,6,8,6,1.0,90.0,0.0,3,1.0
5,3.0,5.0,2.0,6.0,6,8,6,3.0,79.0,0.25,3,8.0
3,2.0,5.0,2.0,8.0,6,8,6,3.0,66.0,0.3333333333333333,3,6.0
4,2.0,3.0,1.0,8.0,6,8,6,2.0,47.0,0.0,3,4.0
3,3.0,4.0,2.0,11.0,6,8,6,2.0,52.0,0.0,3,5.0
3,1.0,8.0,2.0,6.0,6,8,6,0.0,78.0,0.0,3,5.0
2,3.0,3.0,2.0,6.0,6,8,6,2.0,73.0,0.2,3,5.0
1,5.0,3.0,1.0,8.0,6,8,6,1.0,44.0,0.0,3,2.0
2,3.0,4.0,2.0,8.0,6,8,6,0.0,64.0,0.25,3,4.0
2,5.0,2.0,6.0,6.0,6,8,6,2.0,41.0,0.25,1,4.0
1,5.0,2.0,2.0,7.0,6,8,6,1.0,32.0,0.5,3,2.0
1,5.0,3.0,2.0,6.0,6,8,6,1.0,40.0,0.5,3,4.0
2,5.0,2.0,6.0,6.0,6,8,6,2.0,49.0,0.0,2,1.0
1,5.0,1.0,2.0,6.0,6,8,6,1.0,32.0,0.6666666666666666,2,3.0
2,5.0,1.0,2.0,6.0,6,8,6,2.0,27.0,0.3333333333333333,3,3.0
1,5.0,5.0,2.0,10.0,6,8,6,1.0,79.0,0.0,3,3.0
3,5.0,3.0,6.0,6.0,6,8,6,3.0,43.0,0.0,3,3.0
3,5.0,2.0,2.0,3.0,6,8,6,3.0,70.0,0.0,3,4.0
1,5.0,1.0,6.0,6.0,6,8,6,2.0,55.0,0.3333333333333333,3,3.0
3,5.0,5.0,2.0,1.0,6,8,6,1.0,86.0,0.0,3,4.0
2,2.0,1.0,6.0,7.0,6,8,6,2.0,49.0,0.3333333333333333,3,3.0
2,3.0,4.0,2.0,6.0,6,8,6,2.0,60.0,0.0,3,4.0
1,5.0,3.0,2.0,6.0,6,8,6,1.0,56.0,0.0,3,3.0
4,5.0,3.0,1.0,5.0,6,8,6,3.0,34.0,0.2,3,5.0
1,5.0,1.0,6.0,5.0,6,8,6,1.0,67.0,0.0,3,1.0
3,5.0,2.0,2.0,6.0,6,8,6,3.0,45.0,0.4,3,5.0
3,5.0,7.0,2.0,10.0,6,8,6,3.0,60.0,0.0,3,3.0
2,5.0,7.0,2.0,5.0,6,8,6,1.0,58.0,0.0,3,3.0
1,5.0,3.0,2.0,6.0,6,8,6,1.0,40.0,0.5,3,1.0
1,6.0,2.0,2.0,6.0,6,8,6,1.0,48.0,0.0,3,0.5
1,5.0,1.0,6.0,4.0,6,8,6,1.0,27.0,0.75,2,1.0
1,5.0,5.0,2.0,3.0,6,8,6,1.0,40.0,0.6666666666666666,3,0.75
1,5.0,1.0,6.0,6.0,6,8,6,1.0,76.0,0.0,3,0.3333333333333333
3,5.0,3.0,2.0,5.0,6,8,6,3.0,66.0,0.0,3,1.3333333333333333
1,5.0,4.0,6.0,8.0,6,8,6,0.0,48.0,0.0,3,3.0
2,3.0,7.0,2.0,8.0,6,8,6,3.0,50.0,0.0,3,5.0
2,5.0,2.0,1.0,9.0,6,8,6,2.0,32.0,0.3333333333333333,3,3.0
2,5.0,4.0,2.0,8.0,6,8,6,1.0,49.0,0.0,3,3.0
5,1.0,10.0,2.0,10.0,6,8,6,2.0,55.0,0.0,3,6.0
3,3.0,6.0,2.0,6.0,6,8,6,3.0,58.0,0.0,3,4.0
1,5.0,2.0,2.0,6.0,6,8,6,1.0,38.0,0.75,3,4.0
4,5.0,6.0,2.0,6.0,6,8,6,3.0,50.0,0.16666666666666666,3,6.0
